DateFull,Year,Month,Day,Artist,Mix,Path,Format
2020-09-26,2020,09,26,Jessy Lanza,Jessy Lanza,2020/2020-09-26 - Essential Mix - Jessy Lanza/2020-09-26 - Essential Mix - Jessy Lanza.mp3,mp3
2020-10-03,2020,10,03,Mathame,Mathame,2020/2020-10-03 - Essential Mix - Mathame/2020-10-03 - Essential Mix - Mathame.mp3,mp3
2020-10-10,2020,10,10,Sub Focus _ Wilkinson,Sub Focus _ Wilkinson,2020/2020-10-10 - Essential Mix - Sub Focus _ Wilkinson/2020-10-10 - Essential Mix - Sub Focus _ Wilkinson.mp3,mp3
2020-10-24,2020,10,24,Bradley Zero,Bradley Zero,2020/2020-10-24 - Essential Mix - Bradley Zero/2020-10-24 - Essential Mix - Bradley Zero.mp3,mp3
2020-10-31,2020,10,31,CamelPhat,CamelPhat,2020/2020-10-31 - Essential Mix - CamelPhat/2020-10-31 - Essential Mix - CamelPhat.mp3,mp3
2020-11-07,2020,11,07,Orla,Orla,2020/2020-11-07 - Essential Mix - Orla/2020-11-07 - Essential Mix - Orla.mp3,mp3
2020-11-14,2020,11,14,Sherelle,Sherelle,2020/2020-11-14 - Essential Mix - Sherelle/2020-11-14 - Essential Mix - Sherelle.mp3,mp3
2020-11-21,2020,11,21,Hannah Wants,Hannah Wants,2020/2020-11-21 - Essential Mix - Hannah Wants/2020-11-21 - Essential Mix - Hannah Wants.mp3,mp3
2020-11-28,2020,11,28,Doc Scott,Doc Scott,2020/2020-11-28 - Essential Mix - Doc Scott/2020-11-28 - Essential Mix - Doc Scott.mp3,mp3
2020-12-05,2020,12,05,Nicola Cruz,Nicola Cruz,2020/2020-12-05 - Essential Mix - Nicola Cruz/2020-12-05 - Essential Mix - Nicola Cruz.mp3,mp3
2020-12-12,2020,12,12,Duck Sauce,Duck Sauce,2020/2020-12-12 - Essential Mix - Duck Sauce/2020-12-12 - Essential Mix - Duck Sauce.mp3,mp3
